task,round_in_task,global_round,acc,prec_mic,prec_mac,prec_wei,rec_mic,rec_mac,rec_wei,f1_mic,f1_mac,f1_wei,loss
1,1,31,51.75,51.75,18.91,40.7,51.75,17.37,51.75,51.75,14.87,37.33,1.592795
1,2,32,66.14,66.14,20.99,47.2,66.14,24.75,66.14,66.14,22.37,54.06,1.480059
1,3,33,66.28,66.28,21.0,47.25,66.28,24.82,66.28,66.28,22.41,54.16,1.227776
1,4,34,66.34,66.34,21.0,47.26,66.34,24.85,66.34,66.34,22.43,54.21,0.958889
1,5,35,66.37,66.37,29.33,80.13,66.37,24.87,66.37,66.37,22.44,54.24,0.683365
1,6,36,98.26,98.26,32.69,97.79,98.26,32.97,98.26,98.26,32.83,98.01,0.451797
1,7,37,99.15,99.15,32.86,98.66,99.15,33.21,99.15,99.15,33.03,98.9,0.297129
1,8,38,99.27,99.27,32.88,98.77,99.27,33.25,99.27,99.27,33.06,99.02,0.191926
1,9,39,99.31,99.31,32.89,98.81,99.31,33.26,99.31,99.31,33.07,99.06,0.12537
1,10,40,99.33,99.33,32.9,98.83,99.33,33.27,99.33,99.33,33.08,99.08,0.087742
1,11,41,99.34,99.34,32.9,98.85,99.34,33.27,99.34,99.34,33.08,99.09,0.072085
1,12,42,99.35,99.35,32.9,98.85,99.35,33.28,99.35,99.35,33.09,99.1,0.062146
1,13,43,99.35,99.35,32.9,98.86,99.35,33.28,99.35,99.35,33.09,99.1,0.053377
1,14,44,99.36,99.36,32.91,98.86,99.36,33.28,99.36,99.36,33.09,99.11,0.048768
1,15,45,99.36,99.36,32.91,98.86,99.36,33.28,99.36,99.36,33.09,99.11,0.044497
1,16,46,99.37,99.37,32.91,98.87,99.37,33.29,99.37,99.37,33.1,99.12,0.04142
1,17,47,99.37,99.37,32.91,98.87,99.37,33.28,99.37,99.37,33.1,99.12,0.039376
1,18,48,99.37,99.37,32.91,98.87,99.37,33.29,99.37,99.37,33.1,99.12,0.037532
1,19,49,99.37,99.37,32.92,98.87,99.37,33.29,99.37,99.37,33.1,99.12,0.036508
1,20,50,99.37,99.37,32.92,98.87,99.37,33.29,99.37,99.37,33.1,99.12,0.035888
1,21,51,99.38,99.38,32.92,98.88,99.38,33.29,99.38,99.38,33.1,99.12,0.034345
1,22,52,99.38,99.38,32.92,98.88,99.38,33.29,99.38,99.38,33.1,99.13,0.033984
1,23,53,99.38,99.38,32.92,98.88,99.38,33.29,99.38,99.38,33.1,99.13,0.033061
1,24,54,99.38,99.38,32.92,98.88,99.38,33.29,99.38,99.38,33.1,99.13,0.033006
1,25,55,99.38,99.38,32.92,98.89,99.38,33.29,99.38,99.38,33.11,99.13,0.032729
1,26,56,99.38,99.38,32.92,98.88,99.38,33.29,99.38,99.38,33.1,99.13,0.032653
1,27,57,99.38,99.38,32.92,98.88,99.38,33.29,99.38,99.38,33.11,99.13,0.032614
1,28,58,99.39,99.39,32.92,98.89,99.39,33.29,99.39,99.39,33.11,99.13,0.031799
1,29,59,99.38,99.38,32.92,98.88,99.38,33.29,99.38,99.38,33.11,99.13,0.032071
1,30,60,99.39,99.39,32.92,98.89,99.39,33.29,99.39,99.39,33.11,99.14,0.031328
2,1,61,72.77,72.77,18.38,62.35,72.77,21.27,72.77,72.77,19.11,65.25,2.061933
2,2,62,22.57,22.57,17.19,58.49,22.57,11.06,22.57,22.57,7.03,10.04,2.99404
2,3,63,22.61,22.61,11.61,29.35,22.61,11.11,22.61,22.61,7.04,10.03,4.268767
2,4,64,22.61,22.61,12.54,29.4,22.61,11.11,22.61,22.61,7.04,10.03,5.397839
2,5,65,22.61,22.61,17.17,43.92,22.61,11.11,22.61,22.61,7.04,10.03,5.386967
2,6,66,22.61,22.61,17.17,43.92,22.61,11.11,22.61,22.61,7.04,10.04,5.06827
2,7,67,22.61,22.61,17.17,43.92,22.61,11.11,22.61,22.61,7.04,10.04,5.129856
2,8,68,22.61,22.61,19.94,44.06,22.61,11.11,22.61,22.61,7.04,10.03,5.176058
2,9,69,22.61,22.61,18.38,43.91,22.61,11.11,22.61,22.61,7.05,10.04,4.936248
2,10,70,22.61,22.61,17.35,42.82,22.61,11.12,22.61,22.61,7.05,10.04,4.864533
2,11,71,23.53,23.53,21.24,63.27,23.53,11.49,23.53,23.53,7.75,11.81,4.673523
2,12,72,22.67,22.67,17.06,43.66,22.67,11.13,22.67,22.67,7.08,10.17,4.614638
2,13,73,22.63,22.63,17.12,43.79,22.63,11.12,22.63,22.63,7.06,10.09,4.505981
2,14,74,24.18,24.18,17.17,43.94,24.18,11.71,24.18,24.18,8.14,12.96,4.473405
2,15,75,25.24,25.24,22.73,44.26,25.24,12.11,25.24,25.24,8.77,14.63,4.69347
2,16,76,25.64,25.64,17.18,43.99,25.64,12.27,25.64,25.64,9.0,15.23,4.612499
2,17,77,26.03,26.03,19.16,44.12,26.03,12.41,26.03,26.03,9.21,15.78,4.499448
2,18,78,24.63,24.63,17.18,43.96,24.63,11.88,24.63,24.63,8.42,13.7,4.59158
2,19,79,25.56,25.56,17.19,44.0,25.56,12.23,25.56,25.56,8.96,15.11,4.674985
2,20,80,25.91,25.91,17.19,44.0,25.91,12.37,25.91,25.91,9.15,15.61,4.424437
2,21,81,25.08,25.08,22.74,44.28,25.08,12.05,25.08,25.08,8.69,14.41,4.560756
2,22,82,26.49,26.49,22.76,44.32,26.49,12.59,26.49,26.49,9.45,16.39,4.392222
2,23,83,26.32,26.32,18.28,44.03,26.32,12.52,26.32,26.32,9.35,16.16,4.629507
2,24,84,28.62,28.62,17.18,44.06,28.62,13.4,28.62,28.62,10.37,18.88,4.704059
2,25,85,49.08,49.08,19.53,45.3,49.08,18.65,49.08,49.08,16.26,41.61,4.361944
2,26,86,49.91,49.91,23.15,45.6,49.91,18.87,49.91,49.91,16.45,42.21,4.41276
2,27,87,26.04,26.04,19.95,44.13,26.04,12.41,26.04,26.04,9.2,15.77,4.935481
2,28,88,24.87,24.87,17.18,43.97,24.87,11.97,24.87,24.87,8.56,14.07,5.039972
2,29,89,26.04,26.04,17.22,44.06,26.04,12.33,26.04,26.04,9.21,16.17,4.691147
2,30,90,49.38,49.38,23.11,45.55,49.38,18.67,49.38,49.38,16.22,41.62,4.417317
3,1,91,14.62,14.62,1.49,2.31,14.62,6.23,14.62,14.62,2.3,3.96,4.726518
3,2,92,14.87,14.87,1.45,2.36,14.87,7.31,14.87,14.87,2.26,3.95,4.563558
3,3,93,15.73,15.73,4.71,5.03,15.73,8.22,15.73,15.73,3.93,5.3,4.13811
3,4,94,17.12,17.12,8.79,27.47,17.12,8.73,17.12,17.12,5.34,6.5,3.614835
3,5,95,39.98,39.98,12.66,33.73,39.98,12.74,39.98,39.98,9.69,30.32,3.178263
3,6,96,43.04,43.04,13.36,39.49,43.04,14.57,43.04,43.04,10.99,32.95,2.894495
3,7,97,57.38,57.38,15.24,44.74,57.38,20.24,57.38,57.38,16.08,47.61,2.693733
3,8,98,57.75,57.75,15.35,44.82,57.75,20.56,57.75,57.75,16.31,47.82,2.528998
3,9,99,58.09,58.09,15.46,44.84,58.09,20.79,58.09,58.09,16.52,48.04,2.388166
3,10,100,59.11,59.11,14.79,38.81,59.11,21.3,59.11,59.11,16.69,45.78,2.288012
3,11,101,59.24,59.24,15.08,38.81,59.24,21.48,59.24,59.24,16.96,45.85,2.190618
3,12,102,59.31,59.31,15.25,38.91,59.31,21.61,59.31,59.31,17.11,45.94,2.111333
3,13,103,59.37,59.37,15.34,38.92,59.37,21.79,59.37,59.37,17.29,45.99,2.030652
3,14,104,59.4,59.4,15.34,38.88,59.4,21.92,59.4,59.4,17.4,46.02,1.970144
3,15,105,63.0,63.0,19.82,57.13,63.0,22.88,63.0,63.0,19.12,52.91,1.926925
3,16,106,76.3,76.3,21.74,64.97,76.3,26.25,76.3,76.3,22.88,68.88,1.867097
3,17,107,76.49,76.49,22.89,65.5,76.49,26.53,76.49,76.49,23.3,69.15,1.815869
3,18,108,77.48,77.48,25.21,67.15,77.48,29.36,77.48,77.48,26.33,70.64,1.776499
3,19,109,77.61,77.61,25.33,67.29,77.61,29.78,77.61,77.61,26.64,70.8,1.749055
